"elev_kon";"vitsord_ma";"vitsord_mo";"utb_pabygg_mamma";"utb_pabygg_pappa";"medievanor1";"medievanor2";"medievanor3";"hur_ofta_lasbarn1";"hur_ofta_lasbarn2";"hur_ofta_lasbarn3";"hur_ofta_lasbarn4";"hur_ofta_lasbarn5";"hur_ofta_lasbarn6";"hur_ofta_lasbarn7";"hur_garna_lasbarn1";"hur_garna_lasbarn2";"hur_garna_lasbarn3";"hur_garna_lasbarn4";"hur_garna_lasbarn5";"hur_garna_lasbarn6";"hur_garna_lasbarn7";"dist";"imp";"uppr";"moto";"rikt";"skif";"efig";"efpl";"efutf";"efutv";"attention"
"Flicka";9;8;5;4;3;3;1;2;5;5;1;2;1;1;5;5;7;2;4;2;2;0;0;0;0;0;1;0;0;0;0;1
"Flicka";9;8;2;2;6;6;6;3;3;2;1;1;2;2;6;6;5;2;2;5;5;0;0;0;0;0;0;1;0;0;0;1
"Flicka";9;8;5;4;3;3;2;4;4;4;2;2;3;2;6;5;5;2;6;6;6;3;14;2;6;0;0;0;0;2;0;27
"Pojke";10;7;4;5;2;5;4;5;5;5;3;2;2;5;5;5;6;3;2;1;3;0;2;0;1;1;0;0;1;2;0;7
"Pojke";9;9;4;3;4;3;3;5;5;5;3;5;4;5;5;5;7;5;7;6;6;0;0;0;0;0;0;0;0;0;0;0
"Pojke";8;7;4;3;2;2;2;3;3;2;2;2;2;2;6;6;3;6;6;3;6;1;2;1;1;1;0;1;0;3;0;10
"Pojke";10;8;4;5;4;5;4;3;3;4;2;2;2;4;5;5;5;2;3;2;6;0;0;0;0;0;0;0;0;0;0;0
"Flicka";10;9;5;2;2;5;4;5;5;4;4;2;1;2;7;7;7;6;4;3;6;0;0;0;0;0;0;0;0;0;0;0
"Flicka";7;7;3;5;4;5;1;4;4;3;3;2;3;2;4;4;4;4;2;3;3;0;0;0;0;0;0;1;0;0;0;1
"Flicka";9;9;4;3;4;3;1;4;5;2;2;1;2;4;6;6;6;4;1;6;6;1;0;0;0;0;0;0;0;0;0;1
"Pojke";8;8;4;5;3;2;2;4;3;2;2;2;2;2;6;6;6;6;6;6;7;2;8;8;2;4;4;6;4;8;3;49
"Flicka";7;5;4;4;4;1;1;4;4;1;1;4;1;1;1;1;1;1;2;1;2;7;12;10;3;10;8;9;5;12;2;78
"Pojke";8;8;5;4;3;3;3;3;2;3;1;2;2;2;5;0;4;2;5;2;4;4;3;5;7;2;2;2;1;5;0;31
"Pojke";8;7;5;5;3;3;2;2;1;3;3;6;1;2;2;0;5;5;7;0;5;0;10;0;1;2;1;1;2;4;2;23
"Pojke";9;9;5;5;3;2;3;2;2;3;2;6;2;1;0;0;4;6;7;5;0;0;0;1;0;2;0;1;0;1;0;5
"Pojke";8;8;5;4;3;3;3;1;3;6;5;6;3;3;7;7;7;6;7;7;7;1;3;3;5;2;1;2;1;3;1;22
"Flicka";9;9;6;3;5;5;1;2;3;2;1;1;2;2;3;3;5;2;2;2;3;0;2;0;0;1;0;0;0;0;0;3
"Flicka";7;7;4;4;3;2;2;3;3;4;4;4;3;3;5;5;5;4;5;3;3;0;0;0;0;0;0;1;0;1;0;2
"Pojke";7;7;4;1;3;2;2;3;1;1;1;3;1;2;4;0;0;0;6;0;0;2;0;3;0;2;0;5;1;6;1;20
"Flicka";8;8;3;2;3;2;3;3;3;4;1;1;1;2;5;5;7;1;2;2;4;0;0;0;0;0;0;0;0;0;0;0
"Pojke";7;8;2;2;2;2;2;3;3;3;2;2;3;1;5;5;4;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0
"Flicka";8;7;3;2;5;2;2;3;4;4;3;2;2;1;3;4;7;6;3;2;2;0;0;0;0;0;0;0;1;0;0;1
"Flicka";8;8;5;4;5;2;1;2;3;2;1;2;1;3;1;1;3;4;6;1;5;0;4;1;0;3;1;0;0;3;0;12
"Flicka";8;9;6;5;5;4;4;4;3;3;2;1;2;2;6;6;4;4;1;2;2;2;0;1;0;4;0;2;0;3;0;12
"Pojke";7;7;1;3;4;2;2;4;4;2;3;2;1;1;5;5;5;6;4;5;0;7;0;7;0;4;4;6;0;6;3;37
"Flicka";9;9;4;4;3;3;2;4;4;5;1;5;3;2;7;5;7;3;7;7;4;0;0;0;0;1;0;3;0;1;0;5
"Pojke";8;6;5;4;2;2;2;4;4;1;1;5;1;1;3;3;1;0;7;0;0;2;2;0;0;2;1;1;0;1;0;9
"Pojke";9;7;5;4;3;1;2;4;4;4;3;4;3;3;4;4;5;5;7;6;6;1;6;3;3;2;1;2;1;3;3;25
"Flicka";7;7;4;1;4;3;3;4;3;2;2;1;1;1;6;6;6;6;3;3;3;1;0;0;1;0;0;0;0;0;0;2
"Flicka";9;8;5;6;2;3;2;3;1;2;1;2;1;1;6;0;5;0;5;0;0;3;0;2;1;1;0;0;0;1;0;8
"Pojke";6;7;4;1;3;2;2;5;2;2;1;1;1;1;4;4;3;2;3;1;1;7;9;7;2;7;3;6;1;7;2;51
"Pojke";8;8;4;3;3;2;3;4;4;3;2;2;1;2;6;6;6;5;2;1;1;0;2;0;0;0;0;0;0;0;0;2
"Pojke";8;8;6;5;2;2;2;5;5;4;1;3;1;1;5;5;5;1;6;1;1;3;5;0;0;2;1;0;0;0;0;11
"Flicka";7;8;3;5;3;3;2;2;4;4;2;2;4;5;5;5;6;3;4;6;7;0;0;0;0;0;0;0;0;0;0;0
"Pojke";5;9;5;5;3;5;3;3;3;1;2;2;2;3;2;2;1;4;2;1;5;3;4;6;2;2;0;0;0;1;0;18
"Flicka";9;9;5;5;3;3;1;5;5;5;5;1;2;5;7;7;4;4;1;4;7;0;1;0;0;0;0;0;0;0;0;1
"Pojke";8;9;4;4;2;3;2;4;5;3;3;2;2;3;5;5;6;5;4;4;4;2;3;0;0;2;2;0;1;2;0;12
"Pojke";5;6;3;3;4;4;3;2;2;2;3;3;3;3;2;2;2;4;4;4;3;5;6;12;4;10;3;4;6;7;4;61
"Flicka";7;7;2;1;3;1;3;3;1;1;1;2;1;1;4;0;0;0;4;0;0;7;16;5;9;9;6;2;7;8;2;71
"Flicka";9;9;3;3;2;2;2;2;3;5;2;4;2;1;6;5;7;5;7;6;5;0;0;0;0;0;0;0;0;0;0;0
"Pojke";9;9;4;1;3;3;4;2;4;1;1;3;1;3;3;3;3;3;6;2;5;3;4;3;0;7;3;5;4;9;4;42
"Pojke";9;8;4;3;2;2;2;4;4;3;1;2;1;4;3;4;2;2;4;1;4;1;2;1;0;3;2;2;0;2;1;14
"Pojke";9;9;4;2;4;2;3;4;4;3;4;5;2;2;6;6;6;7;7;6;5;5;9;9;2;8;1;5;5;8;3;55
"Pojke";9;9;6;5;2;2;3;4;3;2;2;3;3;1;4;4;6;4;5;5;2;2;6;1;9;2;0;0;2;21;0;43
"Flicka";9;8;5;3;3;2;2;4;1;1;1;2;1;1;7;7;2;1;2;1;1;0;3;0;0;0;0;0;1;1;0;5
"Flicka";7;8;4;2;3;2;2;4;1;3;1;6;1;1;5;0;7;2;7;0;0;1;0;3;0;2;0;3;0;2;0;11
"Flicka";8;8;4;5;2;3;3;4;1;1;1;2;1;1;5;1;1;1;5;1;2;0;0;0;0;0;0;0;0;0;0;0
"Pojke";8;8;4;1;3;3;3;5;2;3;1;1;1;2;5;0;5;0;0;0;6;2;5;3;2;1;0;4;0;4;0;21
"Flicka";7;7;5;4;3;3;2;5;1;4;1;4;1;1;7;7;7;7;7;7;7;0;2;0;0;2;0;0;0;1;0;5
